710:-0.10097155 0.3889725 0.66273445 -0.113728255 0.4043856 -0.42278156 -0.11419132 0.71327496 -0.055655364 -1.0231513
205:0.08348433 0.04343061 -0.44146124 -0.39024654 0.19064246 -0.71962965 0.43343645 0.22601505 0.0829971 -0.64848745
45:0.42569065 0.21191025 -0.25571942 0.10901341 0.17593025 -0.090430945 0.48611885 -0.07880967 -0.43919328 -0.3706527
515:0.29200375 0.33573332 -0.24301107 -0.039573483 -0.08810747 -0.10018366 0.3248973 -0.3624223 -0.22428529 -0.36307248
574:-0.29598746 -0.18352674 -0.2297439 0.25413695 0.0570656 -0.49430764 0.40954202 0.21859273 -0.44276223 -0.257194
858:0.036880404 0.3058262 0.021314785 0.2965638 -0.051452797 -0.36461586 -0.4499883 0.009837206 -0.20362352 0.36365527
619:-0.32208952 0.57288307 0.05733675 0.31016895 0.14746112 -0.5294297 -0.064804435 0.4615183 -0.5141655 -0.8412056
507:0.051606793 0.11634911 0.010702545 0.29935038 -0.22413558 -0.017460298 0.48142022 0.2996303 -0.09985107 -0.09038774
113:-0.41495156 0.36775488 0.48592684 0.29198956 0.2763867 -0.23051144 -0.36166796 -0.018671606 -0.33177793 -1.3280506
34:-0.2208881 0.39008832 -0.11830629 0.06077052 -0.019017242 -0.17937715 0.3269374 -0.03614803 -0.07784172 0.4330196
563:-0.17662174 0.037654143 0.2527444 0.439374 -0.2069126 -0.5376686 0.061633382 -0.20305246 -0.00602735 -0.25342694
381:0.13812944 0.2743868 0.1787523 -0.37093484 0.59807855 -0.3016311 0.49859002 -0.090052925 -0.36214152 -0.36335474
455:0.054087628 0.5772597 0.8327623 -0.43754217 0.4264018 0.20610152 -0.048277095 0.20641561 -0.46185935 -0.1724853
67:-0.22970918 0.3661699 -0.014421609 0.28885248 -0.10653242 -0.08072578 -0.12501106 0.06764135 -0.2890763 -0.61034006
388:0.33193702 0.6745378 -0.3753909 -0.0014424358 -0.25177976 -0.6431928 0.293467 -0.060607582 0.26829487 -0.576622
169:0.08872332 0.6296873 0.52936107 -0.27377754 0.92335486 0.35018015 0.15497032 0.26843807 0.09879558 -0.338771
444:0.16593614 0.004895147 0.09584042 0.08935797 0.16359687 0.22219536 -0.15059303 0.18782638 -0.21688494 -0.77113384
193:0.572664 0.07082505 -0.096269324 0.19312473 -0.14409424 0.13372472 0.32084838 0.45616004 -0.52410716 -0.2351545
713:-0.42311567 0.16193643 0.05544905 0.09611949 0.29321167 -0.46803728 -0.2664092 0.13498986 -0.70608836 -1.3314806
302:-0.1465301 0.23914853 -0.29575464 0.28520572 -0.18022329 -0.6940823 0.38088727 -0.36522853 -0.011758414 -0.49934912
153:0.019289896 -0.55203885 0.9027458 0.09350308 0.060604576 -0.5241034 0.7147122 0.08755238 0.49514902 0.43239462
335:0.51800823 0.06860188 0.35498103 0.68278533 -0.038719352 -0.17874719 0.052895304 -0.28261685 -0.282892 -0.69702613
885:-0.5989827 0.20338565 0.9021732 -0.18336377 0.26393452 -0.30985996 0.073449105 0.44339278 -0.7790545 -1.4005482
735:0.066451624 0.10898556 0.14420748 0.27922472 -0.21334477 -0.12738095 -0.03183035 0.9120988 -0.31836495 -0.5681744
664:0.14308791 0.025099153 -0.07611304 0.13679749 -0.053112097 -0.3113796 0.29099172 0.57354087 -0.58664936 -1.1150279
93:-0.73779017 0.3215523 0.66836584 0.21792771 0.5723635 0.19562396 0.021630326 0.63894045 -0.84972405 -0.6910158
